#  r/R             c            rho               A1          A2            A3         A4            A5
  1.001225E+00  7.108037E+05  1.279453E-10  9.963337E-01  3.769654E+03  1.602867E+00  2.442556E+03  2.735175E-10
  1.001222E+00  7.107786E+05  1.302147E-10  9.963422E-01  3.769931E+03  1.603559E+00  2.442385E+03  2.783665E-10
  1.001219E+00  7.107562E+05  1.325065E-10  9.963506E-01  3.770179E+03  1.604243E+00  2.442242E+03  2.832634E-10
  1.001217E+00  7.107362E+05  1.348209E-10  9.963590E-01  3.770402E+03  1.604919E+00  2.442123E+03  2.882085E-10
  1.001214E+00  7.107174E+05  1.371581E-10  9.963673E-01  3.770612E+03  1.605582E+00  2.442014E+03  2.932023E-10
  1.001211E+00  7.106995E+05  1.395184E-10  9.963755E-01  3.770813E+03  1.606232E+00  2.441914E+03  2.982454E-10
  1.001208E+00  7.106825E+05  1.419019E-10  9.963837E-01  3.771003E+03  1.606869E+00  2.441823E+03  3.033380E-10
  1.001206E+00  7.106664E+05  1.443088E-10  9.963918E-01  3.771184E+03  1.607495E+00  2.441740E+03  3.084808E-10
  1.001203E+00  7.106512E+05  1.467395E-10  9.963999E-01  3.771356E+03  1.608108E+00  2.441665E+03  3.136742E-10
  1.001200E+00  7.106368E+05  1.491941E-10  9.964079E-01  3.771518E+03  1.608709E+00  2.441599E+03  3.189186E-10
  1.001198E+00  7.106233E+05  1.516728E-10  9.964158E-01  3.771671E+03  1.609300E+00  2.441540E+03  3.242146E-10
  1.001195E+00  7.106107E+05  1.541760E-10  9.964237E-01  3.771815E+03  1.609881E+00  2.441490E+03  3.295626E-10
  1.001192E+00  7.105990E+05  1.567037E-10  9.964316E-01  3.771949E+03  1.610451E+00  2.441449E+03  3.349632E-10
  1.001190E+00  7.105883E+05  1.592563E-10  9.964394E-01  3.772073E+03  1.611012E+00  2.441417E+03  3.404168E-10
  1.001187E+00  7.105785E+05  1.618339E-10  9.964471E-01  3.772186E+03  1.611565E+00  2.441394E+03  3.459240E-10
  1.001185E+00  7.105698E+05  1.644369E-10  9.964548E-01  3.772289E+03  1.612110E+00  2.441382E+03  3.514852E-10
  1.001182E+00  7.105623E+05  1.670655E-10  9.964624E-01  3.772379E+03  1.612647E+00  2.441382E+03  3.571010E-10
  1.001179E+00  7.105559E+05  1.697198E-10  9.964700E-01  3.772456E+03  1.613179E+00  2.441394E+03  3.627719E-10
  1.001177E+00  7.105508E+05  1.724002E-10  9.964776E-01  3.772519E+03  1.613704E+00  2.441419E+03  3.684984E-10
  1.001174E+00  7.105472E+05  1.751069E-10  9.964851E-01  3.772568E+03  1.614225E+00  2.441460E+03  3.742811E-10
  1.001172E+00  7.105450E+05  1.778402E-10  9.964926E-01  3.772599E+03  1.614741E+00  2.441516E+03  3.801205E-10
  1.001169E+00  7.105439E+05  1.806003E-10  9.965000E-01  3.772621E+03  1.615251E+00  2.441582E+03  3.860171E-10
  1.001167E+00  7.105429E+05  1.833874E-10  9.965074E-01  3.772640E+03  1.615752E+00  2.441650E+03  3.919714E-10
