                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.1430032893516558E+002   0.1003337276120657E+002   0.0000000000000000E+000                         1                        66                         0                       -66
  0.1391711403414828E+002   0.1018697134743011E+002   0.0000000000000000E+000                         1                        65                         0                       -65
  0.1352203137727173E+002   0.1034541399599475E+002   0.0000000000000000E+000                         1                        64                         0                       -64
  0.1313245086500573E+002   0.1050884664970534E+002   0.0000000000000000E+000                         1                        63                         0                       -63
  0.1275186340146897E+002   0.1067741525976616E+002   0.0000000000000000E+000                         1                        62                         0                       -62
  0.1240681616848389E+002   0.1085160423338928E+002   0.0000000000000000E+000                         1                        61                         0                       -61
  0.1204382363946431E+002   0.1103148298073244E+002   0.0000000000000000E+000                         1                        60                         0                       -60
  0.1168254991545842E+002   0.1121747053193432E+002   0.0000000000000000E+000                         1                        59                         0                       -59
  0.1132751848804229E+002   0.1140972682547566E+002   0.0000000000000000E+000                         1                        58                         0                       -58
  0.1098831069387730E+002   0.1160877358514437E+002   0.0000000000000000E+000                         1                        57                         0                       -57
  0.1064861914585967E+002   0.1181486399820371E+002   0.0000000000000000E+000                         1                        56                         0                       -56
  0.1030621727847651E+002   0.1202832599240087E+002   0.0000000000000000E+000                         1                        55                         0                       -55
  0.9988646623111450E+001   0.1224967767550284E+002   0.0000000000000000E+000                         1                        54                         0                       -54
  0.9664037831408978E+001   0.1247931609391777E+002   0.0000000000000000E+000                         1                        53                         0                       -53
  0.9348806350290161E+001   0.1271767002389452E+002   0.0000000000000000E+000                         1                        52                         0                       -52
  0.9042986900701685E+001   0.1296521152973652E+002   0.0000000000000000E+000                         1                        51                         0                       -51
  0.8739044633752235E+001   0.1322279242674142E+002   0.0000000000000000E+000                         1                        50                         0                       -50
  0.8439850144986481E+001   0.1349056419076944E+002   0.0000000000000000E+000                         1                        49                         0                       -49
  0.8149575550520595E+001   0.1376948770072451E+002   0.0000000000000000E+000                         1                        48                         0                       -48
  0.7861603756072111E+001   0.1406012057367296E+002   0.0000000000000000E+000                         1                        47                         0                       -47
  0.7581718881159223E+001   0.1436315328611750E+002   0.0000000000000000E+000                         1                        46                         0                       -46
  0.7311545213628520E+001   0.1467964381111918E+002   0.0000000000000000E+000                         1                        45                         0                       -45
  0.7039408632002938E+001   0.1501023546666453E+002   0.0000000000000000E+000                         1                        44                         0                       -44
  0.6778987183699010E+001   0.1535613894935596E+002   0.0000000000000000E+000                         1                        43                         0                       -43
  0.6513488306394228E+001   0.1571826225018985E+002   0.0000000000000000E+000                         1                        42                         0                       -42
  0.6253939224597578E+001   0.1609779722664028E+002   0.0000000000000000E+000                         1                        41                         0                       -41
  0.6009790580503844E+001   0.1649586436662651E+002   0.0000000000000000E+000                         1                        40                         0                       -40
  0.5766128357366143E+001   0.1691414708834520E+002   0.0000000000000000E+000                         1                        39                         0                       -39
  0.5530113739643333E+001   0.1735403299095321E+002   0.0000000000000000E+000                         1                        38                         0                       -38
  0.5295981949516759E+001   0.1781745703534106E+002   0.0000000000000000E+000                         1                        37                         0                       -37
  0.5068427980832393E+001   0.1830615206648530E+002   0.0000000000000000E+000                         1                        36                         0                       -36
  0.4843911773078503E+001   0.1882205880692031E+002   0.0000000000000000E+000                         1                        35                         0                       -35
  0.4623155698482726E+001   0.1936797350001456E+002   0.0000000000000000E+000                         1                        34                         0                       -34
  0.4416086182536816E+001   0.1994592766739712E+002   0.0000000000000000E+000                         1                        33                         0                       -33
  0.4211009136675863E+001   0.2055965999465113E+002   0.0000000000000000E+000                         1                        32                         0                       -32
  0.4011272382232722E+001   0.2121195134188840E+002   0.0000000000000000E+000                         1                        31                         0                       -31
  0.3813002712000395E+001   0.2190654622971053E+002   0.0000000000000000E+000                         1                        30                         0                       -30
  0.3620718737918044E+001   0.2264777908277962E+002   0.0000000000000000E+000                         1                        29                         0                       -29
  0.3436653583363372E+001   0.2344063661714912E+002   0.0000000000000000E+000                         1                        28                         0                       -28
  0.3255694900606240E+001   0.2429057778788698E+002   0.0000000000000000E+000                         1                        27                         0                       -27
  0.3079112349958002E+001   0.2520393527540245E+002   0.0000000000000000E+000                         1                        26                         0                       -26
  0.2906530382953704E+001   0.2618776356819385E+002   0.0000000000000000E+000                         1                        25                         0                       -25
  0.2743102440563647E+001   0.2725023460277503E+002   0.0000000000000000E+000                         1                        24                         0                       -24
  0.2585636761326335E+001   0.2840257406332679E+002   0.0000000000000000E+000                         1                        23                         0                       -23
  0.2426763650834066E+001   0.2965483722901656E+002   0.0000000000000000E+000                         1                        22                         0                       -22
  0.2269952328165644E+001   0.3102123401359081E+002   0.0000000000000000E+000                         1                        21                         0                       -21
  0.2122897522327145E+001   0.3251580982989949E+002   0.0000000000000000E+000                         1                        20                         0                       -20
  0.1982959751794990E+001   0.3416042689218768E+002   0.0000000000000000E+000                         1                        19                         0                       -19
