                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.3217832067386031E-004   0.8249478113083946E+003   0.0000000000000000E+000                         0                         0                         5                         5
  0.1241172579114250E-004   0.9722325881336483E+003   0.0000000000000000E+000                         0                         0                         6                         6
  0.5267854727437085E-005   0.1117489579525421E+004   0.0000000000000000E+000                         0                         0                         7                         7
  0.2277030220492177E-005   0.1262978873194162E+004   0.0000000000000000E+000                         0                         0                         8                         8
  0.1013492329780468E-005   0.1406896413091496E+004   0.0000000000000000E+000                         0                         0                         9                         9
  0.4535394824468121E-006   0.1547844829246812E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.2185364882403475E-006   0.1686143983144154E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1200420081889447E-006   0.1821515554556358E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.7367911652361912E-007   0.1956939659601754E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.4855634258947168E-007   0.2093019380352267E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.3273959936356886E-007   0.2228572722350958E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.2308265902224994E-007   0.2363442556186404E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.1772510298617576E-007   0.2497371077112140E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.1463944150159709E-007   0.2631704899441292E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.1272306855978304E-007   0.2767160815275347E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.1128506503774805E-007   0.2902965493606317E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.1015208421132668E-007   0.3039156889894256E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.9403424984330006E-008   0.3175352940068521E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.8929458234024584E-008   0.3311694831058936E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.8685236932450197E-008   0.3448658468194523E+004   0.0000000000000000E+000                         0                         0                        24                        24
  0.8577708036559395E-008   0.3585827126325910E+004   0.0000000000000000E+000                         0                         0                        25                        25
  0.8539985166467001E-008   0.3723384105783200E+004   0.0000000000000000E+000                         0                         0                        26                        26
  0.8611093744168436E-008   0.3861171522228133E+004   0.0000000000000000E+000                         0                         0                        27                        27
  0.8741991082297799E-008   0.3999011846534640E+004   0.0000000000000000E+000                         0                         0                        28                        28
  0.8958429590240246E-008   0.4137114205768718E+004   0.0000000000000000E+000                         0                         0                        29                        29
  0.9281150142946761E-008   0.4275138421246539E+004   0.0000000000000000E+000                         0                         0                        30                        30
  0.9704526803082420E-008   0.4413210648113862E+004   0.0000000000000000E+000                         0                         0                        31                        31
  0.2064210774024531E-004   0.8932659419637973E+003   0.0000000000000000E+000                         1                         0                         4                         5
