                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2631042216541660E+002   0.1006161356497804E+002   0.0000000000000000E+000                         1                       130                         8                      -122
  0.2580964514968031E+002   0.1013491037334127E+002   0.0000000000000000E+000                         1                       128                         9                      -119
  0.2551982520258796E+002   0.1020898994491829E+002   0.0000000000000000E+000                         1                       128                         8                      -120
  0.2530158065311860E+002   0.1028451355324295E+002   0.0000000000000000E+000                         1                       126                         9                      -117
  0.2484449677064177E+002   0.1036093121173716E+002   0.0000000000000000E+000                         1                       127                         7                      -120
  0.2449792984854231E+002   0.1043866183052892E+002   0.0000000000000000E+000                         1                       125                         8                      -117
  0.2410263650040530E+002   0.1051731961909378E+002   0.0000000000000000E+000                         1                       123                         9                      -114
  0.2397658523511819E+002   0.1059745136972746E+002   0.0000000000000000E+000                         1                       123                         8                      -115
  0.2348288363564785E+002   0.1067865630566533E+002   0.0000000000000000E+000                         1                       121                         9                      -112
  0.2324453264939083E+002   0.1076112664276324E+002   0.0000000000000000E+000                         1                       121                         8                      -113
  0.2283116677597387E+002   0.1084479290067475E+002   0.0000000000000000E+000                         1                       121                         7                      -114
  0.2269434714996853E+002   0.1092994099668380E+002   0.0000000000000000E+000                         1                       120                         7                      -113
  0.2218360688329054E+002   0.1101647004519124E+002   0.0000000000000000E+000                         1                       119                         7                      -112
  0.2191786341805082E+002   0.1110415770996975E+002   0.0000000000000000E+000                         1                       119                         6                      -113
  0.2155456186279577E+002   0.1119335095755025E+002   0.0000000000000000E+000                         1                       118                         6                      -112
  0.2144022519412376E+002   0.1128391935674248E+002   0.0000000000000000E+000                         1                       116                         7                      -109
  0.2097841662330475E+002   0.1137622639959319E+002   0.0000000000000000E+000                         1                       114                         8                      -106
  0.2068526722031143E+002   0.1146964596219162E+002   0.0000000000000000E+000                         1                       113                         8                      -105
  0.2034999658875779E+002   0.1156497203506054E+002   0.0000000000000000E+000                         1                       112                         8                      -104
  0.2018980105372871E+002   0.1166161250008367E+002   0.0000000000000000E+000                         1                       112                         7                      -105
  0.1976697053654903E+002   0.1176031618859521E+002   0.0000000000000000E+000                         1                       111                         7                      -104
  0.1942771097439509E+002   0.1186005198143583E+002   0.0000000000000000E+000                         1                       111                         6                      -105
  0.1920949898075539E+002   0.1196197664326671E+002   0.0000000000000000E+000                         1                       110                         6                      -104
  0.1897333540935841E+002   0.1206530214230787E+002   0.0000000000000000E+000                         1                       109                         6                      -103
  0.1867524547813501E+002   0.1217101270129632E+002   0.0000000000000000E+000                         1                       107                         7                      -100
  0.1826522425918087E+002   0.1227799469015965E+002   0.0000000000000000E+000                         1                       107                         6                      -101
  0.1806444233736878E+002   0.1238723780600050E+002   0.0000000000000000E+000                         1                       104                         8                       -96
  0.1773851177185136E+002   0.1249809943747575E+002   0.0000000000000000E+000                         1                       106                         5                      -101
  0.1755028158889581E+002   0.1261129437958063E+002   0.0000000000000000E+000                         1                       106                         4                      -102
