                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.1568717380798446E+002   0.1001107180901123E+002   0.0000000000000000E+000                         1                        70                         6                       -64
  0.1529395013469021E+002   0.1014369798851471E+002   0.0000000000000000E+000                         1                        68                         7                       -61
  0.1494095380723282E+002   0.1027931801801226E+002   0.0000000000000000E+000                         1                        70                         4                       -66
  0.1461580287695224E+002   0.1041879983601152E+002   0.0000000000000000E+000                         1                        66                         7                       -59
  0.1419630492936631E+002   0.1056168809526464E+002   0.0000000000000000E+000                         1                        67                         5                       -62
  0.1391853452070166E+002   0.1070904984957918E+002   0.0000000000000000E+000                         1                        65                         6                       -59
  0.1347532059227570E+002   0.1086094015443808E+002   0.0000000000000000E+000                         1                        65                         5                       -60
  0.1315258138088442E+002   0.1101719134142301E+002   0.0000000000000000E+000                         1                        63                         6                       -57
  0.1281340101465362E+002   0.1117817848938375E+002   0.0000000000000000E+000                         1                        64                         4                       -60
  0.1251358234765145E+002   0.1134318708066366E+002   0.0000000000000000E+000                         1                        61                         6                       -55
  0.1220813176859054E+002   0.1151292111520184E+002   0.0000000000000000E+000                         1                        60                         6                       -54
  0.1186901834571643E+002   0.1168701685771344E+002   0.0000000000000000E+000                         1                        61                         4                       -57
  0.1158644011779531E+002   0.1186672253835481E+002   0.0000000000000000E+000                         1                        59                         5                       -54
  0.1121856583702707E+002   0.1205238020726666E+002   0.0000000000000000E+000                         1                        58                         5                       -53
  0.1091588548968079E+002   0.1224448207662767E+002   0.0000000000000000E+000                         1                        57                         5                       -52
  0.1057762717796034E+002   0.1244314955892400E+002   0.0000000000000000E+000                         1                        56                         5                       -51
  0.1032711455699373E+002   0.1264799293257751E+002   0.0000000000000000E+000                         1                        54                         6                       -48
  0.1002688278835165E+002   0.1285938942688782E+002   0.0000000000000000E+000                         1                        55                         4                       -51
  0.9772893994695758E+001   0.1307751448963224E+002   0.0000000000000000E+000                         1                        54                         4                       -50
  0.9464535392886960E+001   0.1330357097900307E+002   0.0000000000000000E+000                         1                        53                         4                       -49
  0.9156167770696365E+001   0.1353785876339239E+002   0.0000000000000000E+000                         1                        51                         5                       -46
  0.8882579398126232E+001   0.1378129048211598E+002   0.0000000000000000E+000                         1                        51                         4                       -47
  0.8614027463487220E+001   0.1403330734080046E+002   0.0000000000000000E+000                         1                        49                         5                       -44
  0.8372372197846719E+001   0.1429359981595542E+002   0.0000000000000000E+000                         1                        50                         3                       -47
  0.8147839664218729E+001   0.1456190440753700E+002   0.0000000000000000E+000                         1                        49                         3                       -46
  0.7906882441990602E+001   0.1483939546621289E+002   0.0000000000000000E+000                         1                        48                         3                       -45
  0.7631209731231069E+001   0.1512848046337134E+002   0.0000000000000000E+000                         1                        47                         3                       -44
  0.7331983632749891E+001   0.1543099258120233E+002   0.0000000000000000E+000                         1                        45                         4                       -41
  0.7069513603929278E+001   0.1574812400123488E+002   0.0000000000000000E+000                         1                        46                         2                       -44
  0.6816951200337829E+001   0.1607901078502449E+002   0.0000000000000000E+000                         1                        44                         3                       -41
  0.6646211003274054E+001   0.1642199957707033E+002   0.0000000000000000E+000                         1                        43                         3                       -40
  0.6445071983521497E+001   0.1677591053422701E+002   0.0000000000000000E+000                         1                        41                         4                       -37
  0.6254375418361779E+001   0.1714215142380539E+002   0.0000000000000000E+000                         1                        41                         3                       -38
  0.5991187800976402E+001   0.1752634870003836E+002   0.0000000000000000E+000                         1                        40                         3                       -37
  0.5720294283841969E+001   0.1793325646256642E+002   0.0000000000000000E+000                         1                        41                         1                       -40
