                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2379185344716451E+002   0.8021427278281967E+001   0.0000000000000000E+000                         1                        87                         8                       -79
  0.2313977009565717E+002   0.8106123726612731E+001   0.0000000000000000E+000                         1                        87                         7                       -80
  0.2271964527229982E+002   0.8192667642475080E+001   0.0000000000000000E+000                         1                        86                         7                       -79
  0.2224849194016796E+002   0.8281478323615685E+001   0.0000000000000000E+000                         1                        83                         9                       -74
  0.2179961041314613E+002   0.8372122844879730E+001   0.0000000000000000E+000                         1                        83                         8                       -75
  0.2136284677269080E+002   0.8464833158219724E+001   0.0000000000000000E+000                         1                        82                         8                       -74
  0.2096241635635442E+002   0.8559123856432103E+001   0.0000000000000000E+000                         1                        81                         8                       -73
  0.2060472811688452E+002   0.8655659305484296E+001   0.0000000000000000E+000                         1                        81                         7                       -74
  0.2005621944118468E+002   0.8754154511487561E+001   0.0000000000000000E+000                         1                        80                         7                       -73
  0.1964325350406376E+002   0.8855153983204451E+001   0.0000000000000000E+000                         1                        79                         7                       -72
  0.1919628232761480E+002   0.8958740549310610E+001   0.0000000000000000E+000                         1                        78                         7                       -71
  0.1878507580579426E+002   0.9064958122916154E+001   0.0000000000000000E+000                         1                        77                         7                       -70
  0.1841447073402627E+002   0.9173769772285626E+001   0.0000000000000000E+000                         1                        76                         7                       -69
  0.1797884320215065E+002   0.9284977462692508E+001   0.0000000000000000E+000                         1                        75                         7                       -68
  0.1761600909455803E+002   0.9398553533794651E+001   0.0000000000000000E+000                         1                        75                         6                       -69
  0.1722888596932886E+002   0.9514863921004713E+001   0.0000000000000000E+000                         1                        73                         7                       -66
  0.1680779153886484E+002   0.9633986087993211E+001   0.0000000000000000E+000                         1                        72                         7                       -65
  0.1643206175247337E+002   0.9756361191841600E+001   0.0000000000000000E+000                         1                        71                         7                       -64
  0.1600776661991097E+002   0.9882132434670886E+001   0.0000000000000000E+000                         1                        71                         6                       -65
  0.1567303452860630E+002   0.1001116818437523E+002   0.0000000000000000E+000                         1                        70                         6                       -64
  0.1531372968059928E+002   0.1014379135163145E+002   0.0000000000000000E+000                         1                        69                         6                       -63
  0.1494565653327741E+002   0.1027940139843258E+002   0.0000000000000000E+000                         1                        70                         4                       -66
  0.1461325712661759E+002   0.1041887433585937E+002   0.0000000000000000E+000                         1                        67                         6                       -61
  0.1418645276658864E+002   0.1056176124306040E+002   0.0000000000000000E+000                         1                        67                         5                       -62
  0.1391042777290932E+002   0.1070912493987218E+002   0.0000000000000000E+000                         1                        66                         5                       -61
  0.1348301228373541E+002   0.1086101377260415E+002   0.0000000000000000E+000                         1                        66                         4                       -62
  0.1315682159454599E+002   0.1101726241889943E+002   0.0000000000000000E+000                         1                        63                         6                       -57
  0.1281487761120653E+002   0.1117825083384935E+002   0.0000000000000000E+000                         1                        64                         4                       -60
  0.1251036042926487E+002   0.1134326125407975E+002   0.0000000000000000E+000                         1                        63                         4                       -59
  0.1221438881923955E+002   0.1151299271079315E+002   0.0000000000000000E+000                         1                        61                         5                       -56
  0.1185908593608370E+002   0.1168708334943605E+002   0.0000000000000000E+000                         1                        61                         4                       -57
  0.1158990066281903E+002   0.1186677881910157E+002   0.0000000000000000E+000                         1                        59                         5                       -54
  0.1120973647475132E+002   0.1205243041573976E+002   0.0000000000000000E+000                         1                        59                         4                       -55
  0.1091758199147820E+002   0.1224452887323637E+002   0.0000000000000000E+000                         1                        57                         5                       -52
  0.1058035458842657E+002   0.1244319447568431E+002   0.0000000000000000E+000                         1                        57                         4                       -53
  0.1032486524356225E+002   0.1264803756055014E+002   0.0000000000000000E+000                         1                        55                         5                       -50
  0.1003011204675855E+002   0.1285943159889875E+002   0.0000000000000000E+000                         1                        55                         4                       -51
  0.9774299002485010E+001   0.1307754949416878E+002   0.0000000000000000E+000                         1                        56                         2                       -54
  0.9456638928693250E+001   0.1330360301522457E+002   0.0000000000000000E+000                         1                        53                         4                       -49
  0.9161343381756129E+001   0.1353788763084215E+002   0.0000000000000000E+000                         1                        51                         5                       -46
  0.8877100843012110E+001   0.1378131818344723E+002   0.0000000000000000E+000                         1                        51                         4                       -47
  0.8619114006312184E+001   0.1403333628023955E+002   0.0000000000000000E+000                         1                        49                         5                       -44
  0.8376629081095428E+001   0.1429362693347799E+002   0.0000000000000000E+000                         1                        50                         3                       -47
  0.8145428326328558E+001   0.1456193200487824E+002   0.0000000000000000E+000                         1                        49                         3                       -46
  0.7901713891362051E+001   0.1483942469269920E+002   0.0000000000000000E+000                         1                        48                         3                       -45
  0.7628385540587832E+001   0.1512850592750659E+002   0.0000000000000000E+000                         1                        47                         3                       -44
  0.7329727389499513E+001   0.1543101046615356E+002   0.0000000000000000E+000                         1                        46                         3                       -43
  0.7070153058480811E+001   0.1574813511093997E+002   0.0000000000000000E+000                         1                        47                         1                       -46
  0.6822145014786529E+001   0.1607901849495056E+002   0.0000000000000000E+000                         1                        45                         2                       -43
  0.6640582080314354E+001   0.1642201465189431E+002   0.0000000000000000E+000                         1                        43                         3                       -40
  0.6453369399408399E+001   0.1677593543936088E+002   0.0000000000000000E+000                         1                        43                         2                       -41
  0.6251368811460550E+001   0.1714218030014409E+002   0.0000000000000000E+000                         1                        42                         2                       -40
