                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20241109"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                                   M_core                                      R_B 
                                       1                                     1793                  1.0000000000000000E+005                  5.0000000000000000E+000                  9.9997243263689017E-001                  3.3298493503535290E+001                 -9.8999999999999986E+001                  8.8305762759130241E-004                  1.9385859089157687E-002                  1.2708900977982589E-003                  4.2481051822703120E-002                  2.9347710882463844E-002                  1.9385859089157687E-002                  1.2708900977982589E-003                  4.2481051822703120E-002                  2.9347710882463844E-002                 -2.2520324692358043E-001                 -4.7488136861071190E+001                 -1.0144357924478918E+001                 -2.2520324687126500E-001                 -2.3342925595000866E-001                 -1.9519048889662143E+000                 -4.7488136861071190E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7510414819732438E+000                 -1.3847773426190380E-001                 -4.8668670212943195E-002                  4.5354049678641042E+000                  0.0000000000000000E+000                  1.7152872084112342E+001                  1.8943868793596452E+000                  7.1259185261648437E+000                  6.1603548154571264E-001                  8.5527092246011760E-001                  1.2832012713806509E+000                  7.1052418586399091E-001                  2.7049576190503649E-001                  8.4109344660955848E-004                  8.6631766003298378E-003                  3.1572762887392657E-003                  8.6633599098064045E-003                  7.1071765760546890E-001                  2.7055705765923321E-001                                        0                                        8                  9.9999999999999995E-007                  1.2643079061913858E-006 
                                       2                                     1688                  2.8000000000000000E+005                  5.2552725051033056E+000                  9.9997243263689017E-001                  3.3298493503535290E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7064270756300719E-001                  2.5759091695832570E-002                  4.9893283572483053E-006                  9.9999999998356237E-001                  9.7064270756300719E-001                  2.5759091695832570E-002                  4.9893283572483053E-006                 -2.2117411176731086E-001                 -4.7469698097915611E+001                 -1.0135471783659469E+001                 -2.2117411171440710E-001                 -2.2927088277995269E-001                 -1.9546886618886434E+000                 -4.7469698097915611E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7505213812894924E+000                 -1.4298617483606890E-001                 -4.9882689132522369E-002                  4.5378330057032619E+000                  0.0000000000000000E+000                  1.7154728739767343E+001                  1.8959427829475188E+000                  7.1262134279005904E+000                  6.1604537530495085E-001                  8.5525898696649727E-001                  1.2832284855316658E+000                  7.1050332711442865E-001                  2.7052238884770224E-001                  8.3075471408715210E-004                  8.6633637989493306E-003                  3.1572769801368338E-003                  8.6633581330566017E-003                  7.1071633650877508E-001                  2.7055795502791286E-001                                        0                                        5                  9.9999999999999995E-007                  1.2643079061913858E-006 
                                       3                                     1654                  6.0400000000000000E+005                  5.5105450102066120E+000                  9.9997243263689017E-001                  3.3298493503535290E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7020994552694495E-001                  2.7458919422578887E-002                  4.4264888417307044E-006                  9.9999999998356237E-001                  9.7020994552694495E-001                  2.7458919422578887E-002                  4.4264888417307044E-006                 -2.1404944610238472E-001                 -4.7444134694917537E+001                 -1.0122635575733682E+001                 -2.1404944604878059E-001                 -2.2207824040102558E-001                 -1.9511916388264741E+000                 -4.7444134694917537E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7502006058999053E+000                 -1.4633418251886704E-001                 -5.0915142194746868E-002                  4.5398979118277110E+000                  0.0000000000000000E+000                  1.7157689200658417E+001                  1.8985037893487637E+000                  7.1266043214462007E+000                  6.1606409123443173E-001                  8.5523775415722314E-001                  1.2832789890499834E+000                  7.1046393213928494E-001                  2.7056473009332760E-001                  8.1082804083050454E-004                  8.6636938773808070E-003                  3.1572580212278945E-003                  8.6633087924765876E-003                  7.1071394811633148E-001                  2.7055960433942267E-001                                        0                                        5                  9.9999999999999995E-007                  1.2643079061913858E-006 
                                       4                                     1637                  1.1872000000000000E+006                  5.7658175153099176E+000                  9.9997243263689017E-001                  3.3298493503535290E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.6996786232578713E-001                  2.5759091695832237E-002                  4.9122896268872855E-006                  9.9999999998356237E-001                  9.6996786232578713E-001                  2.5759091695832237E-002                  4.9122896268872855E-006                 -2.0179136023989927E-001                 -4.7405308078306710E+001                 -1.0102641380563297E+001                 -2.0179136018533173E-001                 -2.0997422162531279E-001                 -1.9307554836608911E+000                 -4.7405308078306710E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7502373573573862E+000                 -1.4736797272286656E-001                 -5.1505540211708764E-002                  4.5410787078616348E+000                  0.0000000000000000E+000                  1.7161935022277760E+001                  1.9021379651947870E+000                  7.1272094332150830E+000                  6.1609838441010878E-001                  8.5520023357674368E-001                  1.2833706669526732E+000                  7.1039183661298788E-001                  2.7063485421188299E-001                  7.7447043835091674E-004                  8.6642703830509277E-003                  3.1572241765395813E-003                  8.6632209810752845E-003                  7.1070962755534406E-001                  2.7056269670652422E-001                                        0                                        5                  9.9999999999999995E-007                  1.2643079061913858E-006 
                                       5                                     1622                  2.2369600000000000E+006                  6.0210900204132241E+000                  9.9997243263689017E-001                  3.3298493503535290E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7000669308903409E-001                  2.2186520650687741E-002                  5.6199293493638183E-006                  9.9999999998356237E-001                  9.7000669308903409E-001                  2.2186520650687741E-002                  5.6199293493638183E-006                 -1.8442974045559357E-001                 -4.7346237102954078E+001                 -1.0072106785334276E+001                 -1.8442974039934554E-001                 -1.9314091943986872E-001                 -1.8864854237566435E+000                 -4.7346237102954078E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7507084545358440E+000                 -1.4568102184339032E-001                 -5.1604259128886068E-002                  4.5412761456959894E+000                  0.0000000000000000E+000                  1.7166912675182758E+001                  1.9061575945838027E+000                  7.1281784301354483E+000                  6.1615954853367361E-001                  8.5513464775136028E-001                  1.2835337333660748E+000                  7.1026341678945337E-001                  2.7075455456099506E-001                  7.1098649362640455E-004                  8.6652632057521647E-003                  3.1571623503068038E-003                  8.6630602340922302E-003                  7.1070180525642046E-001                  2.7056860638195446E-001                                        0                                        5                  9.9999999999999995E-007                  1.2643079061913858E-006 
                                       6                                     1605                  4.1265280000000000E+006                  6.2763625255165296E+000                  9.9997243263689017E-001                  3.3298493503535290E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7037486327843381E-001                  1.9004687608462134E-002                  8.1470668142618242E-006                  9.9999999998356237E-001                  9.7037486327843381E-001                  1.9004687608462134E-002                  8.1470668142618242E-006                 -1.6646400690739821E-001                 -4.7272850894568620E+001                 -1.0034453916355524E+001                 -1.6646400684854173E-001                 -1.7605823625310363E-001                 -1.8270265057499135E+000                 -4.7272850894568620E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7513297768257519E+000                 -1.4379698313262390E-001                 -5.1904884353318484E-002                  4.5418773961448542E+000                  0.0000000000000000E+000                  1.7171088769133952E+001                  1.9091123975592112E+000                  7.1294550921524023E+000                  6.1626592082248377E-001                  8.5502214851983238E-001                  1.2838172293271717E+000                  7.1004033485208684E-001                  2.7095950046489714E-001                  6.0748942595174589E-004                  8.6669377350724504E-003                  3.1570501520446809E-003                  8.6627681364509299E-003                  7.1068762083182702E-001                  2.7057990189353875E-001                                        0                                        5                  9.9999999999999995E-007                  1.2643079061913858E-006 
                                       7                                     1601                  7.5277504000000004E+006                  6.5316350306198361E+000                  9.9997243263689017E-001                  3.3298493503535290E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7090750556212935E-001                  1.6159113678131498E-002                  8.7287356574196252E-006                  9.9999999998356237E-001                  9.7090750556212935E-001                  1.6159113678131498E-002                  8.7287356574196252E-006                 -1.5471358786177913E-001                 -4.7215946525878806E+001                 -1.0005580548066931E+001                 -1.5471358780055575E-001                 -1.6508187928865098E-001                 -1.7819645354863123E+000                 -4.7215946525878806E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7515430802990934E+000                 -1.4543079288136129E-001                 -5.3148396174370553E-002                  4.5443644197869588E+000                  0.0000000000000000E+000                  1.7173144237922600E+001                  1.9102733922309658E+000                  7.1304724849675063E+000                  6.1644494081405277E-001                  8.5483456624300980E-001                  1.2842937940598089E+000                  7.0966489239681096E-001                  2.7130479798333801E-001                  4.6080146556047640E-004                  8.6696860659417358E-003                  3.1568453762483564E-003                  8.6622332312101674E-003                  7.1066193191150651E-001                  2.7060100392113695E-001                                        0                                        5                  9.9999999999999995E-007                  1.2643079061913858E-006 
                                       8                                     1593                  1.3649950720000001E+007                  6.7869075357231416E+000                  9.9997243263689017E-001                  3.3298493503535290E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7121676253837086E-001                  1.3792778546793699E-002                  9.1925671363314051E-006                  9.9999999998356237E-001                  9.7121676253837086E-001                  1.3792778546793699E-002                  9.1925671363314051E-006                 -1.5075671741312199E-001                 -4.7199671961007844E+001                 -9.9974246638451572E+000                 -1.5075671735130380E-001                 -1.6105773944652649E-001                 -1.7808010432646602E+000                 -4.7199671961007844E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7513607518243872E+000                 -1.4871725155388124E-001                 -5.4426968561217454E-002                  4.5469215645606527E+000                  0.0000000000000000E+000                  1.7173745487043281E+001                  1.9108337302681506E+000                  7.1307172728995658E+000                  6.1673652910626842E-001                  8.5452967660306700E-001                  1.2850677064681786E+000                  7.0905233011573787E-001                  2.7187734455972634E-001                  2.9383725445290766E-004                  8.6740559883151380E-003                  3.1564734951198170E-003                  8.6612635727472999E-003                  7.1061571053592987E-001                  2.7063952346035497E-001                                        0                                        5                  9.9999999999999995E-007                  1.2643079061913858E-006 
                                       9                                     1592                  2.3649950719999999E+007                  7.0000000000000000E+000                  9.9997243263689017E-001                  3.3298493503535290E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7120892766856870E-001                  1.1113674228632964E-002                  9.9881208771213226E-006                  9.9999999998356237E-001                  9.7120892766856870E-001                  1.1113674228632964E-002                  9.9881208771213226E-006                 -1.4991726692791724E-001                 -4.7207457680520783E+001                 -1.0001418876386495E+001                 -1.4991726686678325E-001                 -1.5924371394276768E-001                 -1.8226402292948964E+000                 -4.7207457680520783E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7512569702267724E+000                 -1.4970932160738948E-001                 -5.4715440392742995E-002                  4.5474985082237032E+000                  0.0000000000000000E+000                  1.7174473559203154E+001                  1.9121296676547765E+000                  7.1304409875740893E+000                  6.1716657205877723E-001                  8.5407876014313222E-001                  1.2862050245396959E+000                  7.0814704826000474E-001                  2.7274258550756647E-001                  1.5658845634433733E-004                  8.6802217527709499E-003                  3.1558656044032869E-003                  8.6596801687759128E-003                  7.1054065735636696E-001                  2.7070295311145587E-001                                        0                                        5                  9.9999999999999995E-007                  1.2643079061913858E-006 
