                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.3314490359390853E-004   0.8254996990124309E+003   0.0000000000000000E+000                         0                         0                         5                         5
  0.1274561117476559E-004   0.9728978615075653E+003   0.0000000000000000E+000                         0                         0                         6                         6
  0.5407326741111054E-005   0.1118359903492178E+004   0.0000000000000000E+000                         0                         0                         7                         7
  0.2331801958227103E-005   0.1263844450332238E+004   0.0000000000000000E+000                         0                         0                         8                         8
  0.1034255386196092E-005   0.1407921078486065E+004   0.0000000000000000E+000                         0                         0                         9                         9
  0.4629290426524209E-006   0.1548854040732829E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.2226953631065648E-006   0.1687193500308575E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1223591902675867E-006   0.1822705636461501E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.7496285207222488E-007   0.1958153026930975E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.4919797765170430E-007   0.2094346776304136E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.3312688312010072E-007   0.2229913673244195E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.2330790728243284E-007   0.2364756472705742E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.1788643325845480E-007   0.2498784314252219E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.1475895980567011E-007   0.2633120959449531E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.1278429512168430E-007   0.2768624544221816E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.1132493363870468E-007   0.2904463497110823E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.1017152549423061E-007   0.3040598323397045E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.9412878338582973E-008   0.3176846175807352E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.8942737051411920E-008   0.3313176573326711E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.8685589856530641E-008   0.3450150859860049E+004   0.0000000000000000E+000                         0                         0                        24                        24
  0.8577135301151386E-008   0.3587375684377138E+004   0.0000000000000000E+000                         0                         0                        25                        25
  0.8533286693405119E-008   0.3724894914596897E+004   0.0000000000000000E+000                         0                         0                        26                        26
  0.8596371226849961E-008   0.3862729248959653E+004   0.0000000000000000E+000                         0                         0                        27                        27
  0.8731490190095652E-008   0.4000570190104917E+004   0.0000000000000000E+000                         0                         0                        28                        28
  0.8938800520226271E-008   0.4138665018579297E+004   0.0000000000000000E+000                         0                         0                        29                        29
  0.9263114962346694E-008   0.4276739681604025E+004   0.0000000000000000E+000                         0                         0                        30                        30
  0.9686350042728090E-008   0.4414776587046473E+004   0.0000000000000000E+000                         0                         0                        31                        31
  0.2424284388417810E+001   0.8220500945551498E+003   0.0000000000000000E+000                         1                        19                         4                       -15
  0.3005143490898778E+000   0.8700031547437763E+003   0.0000000000000000E+000                         1                        18                         5                       -13
  0.2123057055121903E-004   0.8938648396275967E+003   0.0000000000000000E+000                         1                        17                         5                       -12
  0.2298579354471141E+000   0.9238560606543734E+003   0.0000000000000000E+000                         1                        16                         4                       -12
  0.2776552279116232E+000   0.9848392296034444E+003   0.0000000000000000E+000                         1                        16                         6                       -10
  0.8488806602455691E-005   0.1039819247610730E+004   0.0000000000000000E+000                         1                        15                         6                        -9
  0.1487213399359285E-001   0.1054331091006173E+004   0.0000000000000000E+000                         1                        14                         5                        -9
  0.5990040590405199E-001   0.1134348512835017E+004   0.0000000000000000E+000                         1                        14                         7                        -7
  0.3664371878590054E-005   0.1185907231679587E+004   0.0000000000000000E+000                         1                        13                         7                        -6
  0.1944326073921082E-001   0.1227678511259982E+004   0.0000000000000000E+000                         1                        13                         7                        -6
  0.1617544024689660E-005   0.1330046339913121E+004   0.0000000000000000E+000                         1                        11                         8                        -3
  0.3164415607786875E-003   0.1337362000159152E+004   0.0000000000000000E+000                         1                        12                         7                        -5
  0.5075814458933873E-004   0.1468404075210962E+004   0.0000000000000000E+000                         1                         9                         8                        -1
  0.7173301601082264E-006   0.1473429496657187E+004   0.0000000000000000E+000                         1                         9                         9                         1
  0.3277169431764302E-006   0.1613068403004166E+004   0.0000000000000000E+000                         1                         9                        10                         2
  0.1451762248781266E-003   0.1628796343955424E+004   0.0000000000000000E+000                         1                        10                         9                        -1
  0.1654024947009255E-006   0.1749890160894991E+004   0.0000000000000000E+000                         1                         9                        11                         3
  0.3065201737514839E-003   0.1826704977353507E+004   0.0000000000000000E+000                         1                         7                        11                         5
  0.9612912974035674E-007   0.1885746558040951E+004   0.0000000000000000E+000                         1                         7                        12                         6
  0.6140996278375212E-007   0.2021443021305743E+004   0.0000000000000000E+000                         1                         7                        13                         7
  0.8515992766658934E-004   0.2082217183666829E+004   0.0000000000000000E+000                         1                         7                        13                         7
  0.4056833420006688E-007   0.2157874674133845E+004   0.0000000000000000E+000                         1                         7                        14                         8
  0.2785702051399973E-007   0.2293457689230520E+004   0.0000000000000000E+000                         1                         7                        15                         9
  0.8458742819954588E-006   0.2419337774844704E+004   0.0000000000000000E+000                         1                         5                        15                        11
  0.2083240671042748E-007   0.2427987273462080E+004   0.0000000000000000E+000                         1                         5                        16                        12
  0.1615650216552587E-007   0.2562265295649678E+004   0.0000000000000000E+000                         1                         5                        17                        13
  0.1374653223687429E-007   0.2697228921528676E+004   0.0000000000000000E+000                         1                         5                        18                        14
  0.1202617424014655E-007   0.2833033019533650E+004   0.0000000000000000E+000                         1                         5                        19                        15
  0.5945557967819574E-005   0.2886865473111697E+004   0.0000000000000000E+000                         1                         5                        19                        15
  0.1072548283547600E-007   0.2969492392141604E+004   0.0000000000000000E+000                         1                         5                        20                        16
  0.9763469139353553E-008   0.3105636711805650E+004   0.0000000000000000E+000                         1                         5                        21                        17
  0.9131980541078144E-008   0.3242135633488715E+004   0.0000000000000000E+000                         1                         5                        22                        18
  0.8803144740576160E-008   0.3378902633734464E+004   0.0000000000000000E+000                         1                         5                        23                        19
  0.8620756670549055E-008   0.3515969924380068E+004   0.0000000000000000E+000                         1                         5                        24                        20
  0.2399685646994616E-005   0.3586728161960156E+004   0.0000000000000000E+000                         1                         3                        24                        22
  0.8549168085111958E-008   0.3653795665730484E+004   0.0000000000000000E+000                         1                         3                        25                        23
  0.8556780922832081E-008   0.3791402688843200E+004   0.0000000000000000E+000                         1                         3                        26                        24
  0.8636795901319385E-008   0.3929360073923468E+004   0.0000000000000000E+000                         1                         3                        27                        25
  0.8823322400491775E-008   0.4067462599061084E+004   0.0000000000000000E+000                         1                         3                        28                        26
  0.9075899454865091E-008   0.4205537137780182E+004   0.0000000000000000E+000                         1                         3                        29                        27
  0.9443505950282281E-008   0.4343767501109754E+004   0.0000000000000000E+000                         1                         3                        30                        28
  0.9960126405369646E-008   0.4481810763434684E+004   0.0000000000000000E+000                         1                         3                        31                        29
  0.3585051925140558E-004   0.8120283028191967E+003   0.0000000000000000E+000                         2                        31                         4                       -27
  0.7633814791269039E+001   0.8227924356622088E+003   0.0000000000000000E+000                         2                        30                         4                       -26
  0.6399922613805593E+002   0.8499004699852310E+003   0.0000000000000000E+000                         2                        29                         4                       -25
  0.9920975945632347E+002   0.8786740815043123E+003   0.0000000000000000E+000                         2                        28                         4                       -24
  0.6230674905031710E+002   0.9096056288319107E+003   0.0000000000000000E+000                         2                        27                         4                       -23
  0.8348291091857382E+001   0.9426431602056905E+003   0.0000000000000000E+000                         2                        26                         4                       -22
  0.1381043616302480E-004   0.9601002296582872E+003   0.0000000000000000E+000                         2                        26                         5                       -21
  0.6964262506394460E+001   0.9783402397384534E+003   0.0000000000000000E+000                         2                        25                         5                       -20
  0.3123722853191211E+002   0.1016740584957222E+004   0.0000000000000000E+000                         2                        24                         5                       -19
  0.1888942323545253E+002   0.1058394418654146E+004   0.0000000000000000E+000                         2                        23                         5                       -18
  0.3103851516541861E-001   0.1103575384410108E+004   0.0000000000000000E+000                         2                        23                         6                       -17
  0.5819889071673760E-005   0.1105467338974084E+004   0.0000000000000000E+000                         2                        22                         6                       -16
  0.9556063557759856E+001   0.1152776348812488E+004   0.0000000000000000E+000                         2                        21                         6                       -15
  0.5827395282609499E+001   0.1206695821889247E+004   0.0000000000000000E+000                         2                        20                         6                       -14
  0.2509298586541260E-005   0.1251124480020533E+004   0.0000000000000000E+000                         2                        20                         7                       -13
  0.5493150198664321E+000   0.1265777042071890E+004   0.0000000000000000E+000                         2                        19                         7                       -12
  0.3272472880609600E+001   0.1331127265244420E+004   0.0000000000000000E+000                         2                        18                         7                       -11
  0.1114204608300429E-005   0.1395085125386265E+004   0.0000000000000000E+000                         2                        18                         8                       -10
  0.6619494176133367E-001   0.1403508217514478E+004   0.0000000000000000E+000                         2                        17                         8                        -9
  0.8853334323320512E+000   0.1484307250335586E+004   0.0000000000000000E+000                         2                        16                         8                        -8
  0.4954374621317776E-006   0.1536405113538618E+004   0.0000000000000000E+000                         2                        16                         9                        -7
  0.3076088923229580E+000   0.1574706581464374E+004   0.0000000000000000E+000                         2                        15                         9                        -6
  0.1862045271547544E-001   0.1793525106965031E+004   0.0000000000000000E+000                         2                        13                        10                        -3
  0.1280492242003419E-006   0.1810840646485895E+004   0.0000000000000000E+000                         2                        13                        11                        -2
  0.1092359526750886E-001   0.1927525693237543E+004   0.0000000000000000E+000                         2                        12                        11                        -1
  0.7770677218067451E-007   0.1946588127813660E+004   0.0000000000000000E+000                         2                        12                        12                         0
  0.3406302109276141E-007   0.2218918349643435E+004   0.0000000000000000E+000                         2                        11                        14                         3
  0.1000278811233828E-001   0.2265495251969747E+004   0.0000000000000000E+000                         2                        10                        14                         4
  0.2384057698522072E-007   0.2354221616995968E+004   0.0000000000000000E+000                         2                        10                        15                         5
  0.1350359784899731E-003   0.2481898611459860E+004   0.0000000000000000E+000                         2                        10                        16                         6
  0.1815930663506358E-007   0.2488537579746531E+004   0.0000000000000000E+000                         2                         9                        16                         7
  0.1489318639556587E-007   0.2623197922101123E+004   0.0000000000000000E+000                         2                         9                        17                         8
  0.2312369320726530E-003   0.2746485677138393E+004   0.0000000000000000E+000                         2                         8                        17                         9
  0.1287842157624791E-007   0.2758971618195607E+004   0.0000000000000000E+000                         2                         8                        18                        10
  0.1138419803462895E-007   0.2895100192903619E+004   0.0000000000000000E+000                         2                         8                        19                        11
  0.1021043222009697E-007   0.3031601540729667E+004   0.0000000000000000E+000                         2                         8                        20                        12
  0.9110005940105040E-003   0.3071173035285671E+004   0.0000000000000000E+000                         2                         7                        20                        13
  0.9432269871323555E-008   0.3168134052218568E+004   0.0000000000000000E+000                         2                         7                        21                        14
  0.8941308189731229E-008   0.3304767006336797E+004   0.0000000000000000E+000                         2                         7                        22                        15
  0.8679259438538483E-008   0.3442026302748850E+004   0.0000000000000000E+000                         2                         7                        23                        16
  0.5502213417082961E-003   0.3485878965254872E+004   0.0000000000000000E+000                         2                         6                        23                        17
  0.8563425562076153E-008   0.3579500846715010E+004   0.0000000000000000E+000                         2                         6                        24                        18
  0.8515080985830096E-008   0.3717305721910369E+004   0.0000000000000000E+000                         2                         6                        25                        19
  0.8576887114734906E-008   0.3855379230123138E+004   0.0000000000000000E+000                         2                         6                        26                        20
  0.8705829818310507E-008   0.3993462726748846E+004   0.0000000000000000E+000                         2                         6                        27                        21
  0.2634323375456489E-003   0.4031812663606993E+004   0.0000000000000000E+000                         2                         5                        27                        22
  0.8911785141176760E-008   0.4131804986643687E+004   0.0000000000000000E+000                         2                         5                        28                        23
  0.9230731829852653E-008   0.4270090049638565E+004   0.0000000000000000E+000                         2                         5                        29                        24
  0.9647397383515408E-008   0.4408358153151476E+004   0.0000000000000000E+000                         2                         5                        30                        25
  0.5963166451208705E+005   0.8004726267545793E+003   0.0000000000000000E+000                         3                        44                         3                       -41
  0.4261753190370888E+005   0.8183523499225367E+003   0.0000000000000000E+000                         3                        43                         3                       -40
  0.1912675150351349E+005   0.8370599162137090E+003   0.0000000000000000E+000                         3                        42                         3                       -39
