                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.3381427352390651E-004   0.8258686714181569E+003   0.0000000000000000E+000                         0                         0                         5                         5
  0.1297799758758515E-004   0.9733326680683241E+003   0.0000000000000000E+000                         0                         0                         6                         6
  0.5503561663755044E-005   0.1118938482371590E+004   0.0000000000000000E+000                         0                         0                         7                         7
  0.2370125525256007E-005   0.1264416968385917E+004   0.0000000000000000E+000                         0                         0                         8                         8
  0.1048716155625011E-005   0.1408595462427625E+004   0.0000000000000000E+000                         0                         0                         9                         9
  0.4695039308206020E-006   0.1549528419029043E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.2256316219124031E-006   0.1687885574846583E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1239649342838396E-006   0.1823498847413606E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.7586546114556324E-007   0.1958961827732676E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.4964885441338455E-007   0.2095222485918223E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.3339912863360227E-007   0.2230810501897630E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.2347092595548940E-007   0.2365628093240327E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.1799781829014636E-007   0.2499722968480439E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.1484350796718673E-007   0.2634067948272703E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.1282797477983971E-007   0.2769588968554154E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.1135284111099651E-007   0.2905459988263491E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.1018778912160760E-007   0.3041553346845463E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.9419732865039877E-008   0.3177829110413988E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.8952785240169939E-008   0.3314163102881359E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.8687034918986877E-008   0.3451129342560323E+004   0.0000000000000000E+000                         0                         0                        24                        24
  0.8576016836667240E-008   0.3588397348138406E+004   0.0000000000000000E+000                         0                         0                        25                        25
  0.8530392993117941E-008   0.3725891236572533E+004   0.0000000000000000E+000                         0                         0                        26                        26
  0.8586095178721742E-008   0.3863744249780308E+004   0.0000000000000000E+000                         0                         0                        27                        27
  0.8724606051725227E-008   0.4001599170616288E+004   0.0000000000000000E+000                         0                         0                        28                        28
  0.8926629266878936E-008   0.4139673913690800E+004   0.0000000000000000E+000                         0                         0                        29                        29
  0.9249524790003397E-008   0.4277785411828257E+004   0.0000000000000000E+000                         0                         0                        30                        30
  0.9675155228399915E-008   0.4415802170657008E+004   0.0000000000000000E+000                         0                         0                        31                        31
  0.2446933013045335E+000   0.8575624650474124E+003   0.0000000000000000E+000                         1                        10                         5                        -5
  0.2163360547060070E-004   0.8942662062664017E+003   0.0000000000000000E+000                         1                         9                         5                        -4
  0.1322984680459249E+000   0.9514670428545002E+003   0.0000000000000000E+000                         1                        10                         4                        -6
  0.8651289842165059E-005   0.1040240299672828E+004   0.0000000000000000E+000                         1                         9                         6                        -3
