                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.3261039832950153E-004   0.8253808603691864E+003   0.0000000000000000E+000                         0                         0                         5                         5
  0.1246049983555298E-004   0.9727667927601341E+003   0.0000000000000000E+000                         0                         0                         6                         6
  0.5263073009168271E-005   0.1118174274320967E+004   0.0000000000000000E+000                         0                         0                         7                         7
  0.2257430051864600E-005   0.1263552740616490E+004   0.0000000000000000E+000                         0                         0                         8                         8
  0.9957499194821851E-006   0.1407661116168462E+004   0.0000000000000000E+000                         0                         0                         9                         9
  0.4421416802781105E-006   0.1548562899411566E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.2101679342557075E-006   0.1686868372200986E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1142583611313838E-006   0.1822274819236901E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.6931547117366601E-007   0.1957512026469908E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.4501182260119972E-007   0.2093570365121510E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.3005664184873666E-007   0.2228894819328311E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.2097024558087045E-007   0.2363527893561846E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.1594218956360139E-007   0.2497409175435766E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.1303673431125703E-007   0.2631463925418444E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.1118553973643327E-007   0.2766721616436918E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.9832450215066214E-008   0.2902290324494008E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.8776155624162226E-008   0.3038089120197470E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.8074428480772467E-008   0.3174120438391232E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.7629248491374051E-008   0.3310188634767007E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.7362233786901493E-008   0.3446902295931587E+004   0.0000000000000000E+000                         0                         0                        24                        24
  0.7227540529686041E-008   0.3583927582107435E+004   0.0000000000000000E+000                         0                         0                        25                        25
  0.7146259773241727E-008   0.3721173305023386E+004   0.0000000000000000E+000                         0                         0                        26                        26
  0.7153811103641352E-008   0.3858800770509660E+004   0.0000000000000000E+000                         0                         0                        27                        27
  0.7224879737707690E-008   0.3996464747860182E+004   0.0000000000000000E+000                         0                         0                        28                        28
  0.7336802222474739E-008   0.4134366476912983E+004   0.0000000000000000E+000                         0                         0                        29                        29
  0.7543071196356924E-008   0.4272345533318679E+004   0.0000000000000000E+000                         0                         0                        30                        30
  0.7811757736821356E-008   0.4410325748025352E+004   0.0000000000000000E+000                         0                         0                        31                        31
  0.2083390319978443E-004   0.8937437802293105E+003   0.0000000000000000E+000                         1                         0                         4                         5
  0.8281813904449645E-005   0.1039589573853143E+004   0.0000000000000000E+000                         1                         0                         5                         6
  0.3555874566040376E-005   0.1185649072390274E+004   0.0000000000000000E+000                         1                         0                         6                         7
  0.1555677838812861E-005   0.1329732847196952E+004   0.0000000000000000E+000                         1                         0                         7                         8
  0.6784012374162132E-006   0.1473015660526265E+004   0.0000000000000000E+000                         1                         0                         8                         9
  0.3107428317663805E-006   0.1612777248782736E+004   0.0000000000000000E+000                         1                         0                         9                        10
  0.1553875867412015E-006   0.1749443916810919E+004   0.0000000000000000E+000                         1                         0                        10                        11
  0.8929115769359910E-007   0.1885160573479165E+004   0.0000000000000000E+000                         1                         0                        11                        12
  0.5651741133100355E-007   0.2020726337226054E+004   0.0000000000000000E+000                         1                         0                        12                        13
  0.3695101004169929E-007   0.2156910461688740E+004   0.0000000000000000E+000                         1                         0                        13                        14
  0.2516736908119985E-007   0.2292335304680083E+004   0.0000000000000000E+000                         1                         0                        14                        15
  0.1821728611906945E-007   0.2426441074105229E+004   0.0000000000000000E+000                         1                         0                        15                        16
  0.1432901714235489E-007   0.2560709504778472E+004   0.0000000000000000E+000                         1                         0                        16                        17
  0.1208765909457080E-007   0.2695466989013930E+004   0.0000000000000000E+000                         1                         0                        17                        18
  0.1047223734100035E-007   0.2831017297219857E+004   0.0000000000000000E+000                         1                         0                        18                        19
  0.9273076939284405E-008   0.2967094393622856E+004   0.0000000000000000E+000                         1                         0                        19                        20
  0.8405025373369189E-008   0.3102990272939751E+004   0.0000000000000000E+000                         1                         0                        20                        21
  0.7811111471671313E-008   0.3239227581029098E+004   0.0000000000000000E+000                         1                         0                        21                        22
  0.7484622557372972E-008   0.3375788689504702E+004   0.0000000000000000E+000                         1                         0                        22                        23
  0.7280152807124658E-008   0.3512651624238160E+004   0.0000000000000000E+000                         1                         0                        23                        24
  0.7168260460543985E-008   0.3650040238605199E+004   0.0000000000000000E+000                         1                         0                        24                        25
  0.7144712383774695E-008   0.3787490352220341E+004   0.0000000000000000E+000                         1                         0                        25                        26
  0.7169346465085557E-008   0.3925219034904496E+004   0.0000000000000000E+000                         1                         0                        26                        27
  0.7270108894707755E-008   0.4063183500114883E+004   0.0000000000000000E+000                         1                         0                        27                        28
  0.7424850221629381E-008   0.4201081807975549E+004   0.0000000000000000E+000                         1                         0                        28                        29
  0.7653393646525399E-008   0.4339221802678043E+004   0.0000000000000000E+000                         1                         0                        29                        30
  0.7974927496566299E-008   0.4477351109747803E+004   0.0000000000000000E+000                         1                         0                        30                        31
  0.3529664666370934E-004   0.8117961787514071E+003   0.0000000000000000E+000                         2                         0                         4                         4
  0.1351457834336880E-004   0.9599053843446582E+003   0.0000000000000000E+000                         2                         0                         5                         5
  0.5669310041544490E-005   0.1105200949152995E+004   0.0000000000000000E+000                         2                         0                         6                         6
  0.2430917484406576E-005   0.1250771080299621E+004   0.0000000000000000E+000                         2                         0                         7                         7
  0.1074051102076921E-005   0.1394747362396272E+004   0.0000000000000000E+000                         2                         0                         8                         8
  0.4737832711567814E-006   0.1536033257611021E+004   0.0000000000000000E+000                         2                         0                         9                         9
  0.2234930409613047E-006   0.1674725408572936E+004   0.0000000000000000E+000                         2                         0                        10                        10
  0.1197421512177315E-006   0.1810337527616218E+004   0.0000000000000000E+000                         2                         0                        11                        11
  0.7192277551734452E-007   0.1945878854138067E+004   0.0000000000000000E+000                         2                         0                        12                        12
  0.4656584135134918E-007   0.2082124633112939E+004   0.0000000000000000E+000                         2                         0                        13                        13
  0.3093323811547326E-007   0.2217829526233927E+004   0.0000000000000000E+000                         2                         0                        14                        14
  0.2146599912042338E-007   0.2352933549774967E+004   0.0000000000000000E+000                         2                         0                        15                        15
  0.1620037349718681E-007   0.2487098276831079E+004   0.0000000000000000E+000                         2                         0                        16                        16
  0.1316444767833490E-007   0.2621474067401291E+004   0.0000000000000000E+000                         2                         0                        17                        17
  0.1127557452063986E-007   0.2757010793108864E+004   0.0000000000000000E+000                         2                         0                        18                        18
  0.9890902396074591E-008   0.2892859771811988E+004   0.0000000000000000E+000                         2                         0                        19                        19
  0.8812768821907773E-008   0.3029023090962200E+004   0.0000000000000000E+000                         2                         0                        20                        20
  0.8095654889765909E-008   0.3165333835645565E+004   0.0000000000000000E+000                         2                         0                        21                        21
  0.7631455236451221E-008   0.3301689609247540E+004   0.0000000000000000E+000                         2                         0                        22                        22
  0.7359672123353917E-008   0.3438687993574142E+004   0.0000000000000000E+000                         2                         0                        23                        23
  0.7219889285797282E-008   0.3575947247540511E+004   0.0000000000000000E+000                         2                         0                        24                        24
  0.7133599896211432E-008   0.3713467458262104E+004   0.0000000000000000E+000                         2                         0                        25                        25
  0.7140617078294719E-008   0.3851326411719555E+004   0.0000000000000000E+000                         2                         0                        26                        26
  0.7206939251423925E-008   0.3989211814580059E+004   0.0000000000000000E+000                         2                         0                        27                        27
  0.7317521365362365E-008   0.4127352543753745E+004   0.0000000000000000E+000                         2                         0                        28                        28
  0.7520841882792599E-008   0.4265523249653061E+004   0.0000000000000000E+000                         2                         0                        29                        29
  0.7784697970900982E-008   0.4403711545130128E+004   0.0000000000000000E+000                         2                         0                        30                        30
  0.2444013537923783E-004   0.8669866348975863E+003   0.0000000000000000E+000                         3                         0                         4                         4
  0.9509930247278717E-005   0.1015052634088078E+004   0.0000000000000000E+000                         3                         0                         5                         5
  0.4069415090614213E-005   0.1161725577644309E+004   0.0000000000000000E+000                         3                         0                         6                         6
  0.1760494243873843E-005   0.1306836923309908E+004   0.0000000000000000E+000                         3                         0                         7                         7
  0.7688946063518036E-006   0.1451108398147053E+004   0.0000000000000000E+000                         3                         0                         8                         8
  0.3475829971665474E-006   0.1591601029378853E+004   0.0000000000000000E+000                         3                         0                         9                         9
  0.1700272079293987E-006   0.1729277832395937E+004   0.0000000000000000E+000                         3                         0                        10                        10
  0.9601278463866557E-007   0.1865315993029187E+004   0.0000000000000000E+000                         3                         0                        11                        11
  0.5992177029881224E-007   0.2001157432981478E+004   0.0000000000000000E+000                         3                         0                        12                        12
  0.3902573920294467E-007   0.2137900159844103E+004   0.0000000000000000E+000                         3                         0                        13                        13
  0.2639684335825034E-007   0.2273767007390640E+004   0.0000000000000000E+000                         3                         0                        14                        14
  0.1884758413762022E-007   0.2408489076163573E+004   0.0000000000000000E+000                         3                         0                        15                        15
  0.1467906261110154E-007   0.2543187151039619E+004   0.0000000000000000E+000                         3                         0                        16                        16
  0.1228364552220241E-007   0.2678203732289421E+004   0.0000000000000000E+000                         3                         0                        17                        17
  0.1060492321723644E-007   0.2814227589198123E+004   0.0000000000000000E+000                         3                         0                        18                        18
  0.9375074552644775E-008   0.2950708570261948E+004   0.0000000000000000E+000                         3                         0                        19                        19
  0.8458313590640257E-008   0.3087044779305121E+004   0.0000000000000000E+000                         3                         0                        20                        20
  0.7838663223429739E-008   0.3223760461974745E+004   0.0000000000000000E+000                         3                         0                        21                        21
  0.7490870793536931E-008   0.3360666184699792E+004   0.0000000000000000E+000                         3                         0                        22                        22
  0.7270126950424624E-008   0.3497963929338837E+004   0.0000000000000000E+000                         3                         0                        23                        23
  0.7156522997689837E-008   0.3635760410085807E+004   0.0000000000000000E+000                         3                         0                        24                        24
